,function_name,solver_name,seed,experiment_id,max_steps
1,mestranol_similarity,cma_es,2,fbde0a0b-d9e3-4ca6-bc51-d0807dcb9f37,309
2,mestranol_similarity,cma_es,3,8f6b6ff4-9a07-4962-8331-d703bb1f425b,309
3,mestranol_similarity,cma_es,4,2fb20ef5-34f6-4718-a242-b248f875a82e,309
4,mestranol_similarity,cma_es,5,86e9a53a-2e5a-4ea0-9135-ea9cbc53379d,309
0,mestranol_similarity,random_line_bo,1,08cee961-cb55-4ad0-9a11-962b3296f35c,309
1,mestranol_similarity,random_line_bo,2,04131cd7-b1cb-4d3b-bdf8-0131f380781a,309
2,mestranol_similarity,random_line_bo,3,ba7bfead-0c13-4a47-a5bd-86412d22ea66,309
3,mestranol_similarity,random_line_bo,4,141c9927-7a36-47c3-84b8-86cb269c6a81,309
4,mestranol_similarity,random_line_bo,5,16dec7ee-b12f-4b94-9bb6-ee5e6b61fcd3,309
0,mestranol_similarity,coordinate_line_bo,1,509ff71c-9c2a-4336-afb8-77854d3a81b3,309
1,mestranol_similarity,coordinate_line_bo,2,8580831b-92ef-4bb5-af2c-3f4f5f0c9ced,309
2,mestranol_similarity,coordinate_line_bo,3,0ba5415e-026e-456d-8b46-09a6672310bf,309
3,mestranol_similarity,coordinate_line_bo,4,74ed8bb1-01f7-497d-b1dd-430b1602c34a,309
4,mestranol_similarity,coordinate_line_bo,5,213adc5e-b340-4efe-98cb-0236b88c5254,309
0,mestranol_similarity,turbo,1,22127165-c689-46af-b4fd-11f0d3b5ed72,309
1,mestranol_similarity,turbo,2,1d028d24-6a9a-4e8a-bbe5-bac86cef10c1,309
2,mestranol_similarity,turbo,3,8495ccc3-00db-4434-8c43-8e443be29d4f,309
3,mestranol_similarity,turbo,4,e330cc20-b168-4934-b0a8-c8e72a2697a9,309
4,mestranol_similarity,turbo,5,8dce82b5-e7e3-4da7-b1be-10a4da3bf67c,309
0,mestranol_similarity,vanilla_bo_hvarfner,1,61b92be8-73dc-4462-a60d-19aade9c9b00,12
1,mestranol_similarity,vanilla_bo_hvarfner,2,0c73208d-a9f2-4f52-9e52-ec9f501d4c1b,12
2,mestranol_similarity,vanilla_bo_hvarfner,3,4dd06c92-d84f-4bec-94fd-a6ef1cf5d481,12
3,mestranol_similarity,vanilla_bo_hvarfner,4,28c043aa-35e8-4822-9b38-5b9f5794b8c7,12
4,mestranol_similarity,vanilla_bo_hvarfner,5,2fae1794-b1ec-49e0-86ee-3a1969573e51,12
0,mestranol_similarity,pr,1,1e95ccdb-06d2-448a-b455-8896b1442066,12
1,mestranol_similarity,pr,2,8c6b39b5-938f-4caa-b35f-79cfa9abedda,12
2,mestranol_similarity,pr,3,60ebe328-dd82-4f3e-8033-a579b4aa8763,12
3,mestranol_similarity,pr,4,526bbab8-e932-4660-971d-8ff504682401,12
4,mestranol_similarity,pr,5,9e6d5efa-dd15-40fd-b097-7db8aa4e6a74,12
0,mestranol_similarity,saas_bo,1,cbdc8d83-60b5-4263-af12-4114b36ab8e8,12
1,mestranol_similarity,saas_bo,2,68b3a495-b16c-49ba-9e44-50a1bf7901c2,12
2,mestranol_similarity,saas_bo,3,10850553-762c-4141-ae3b-80dffdcd677e,12
3,mestranol_similarity,saas_bo,4,73924b64-bf0d-46e5-972b-f880b32a59dc,12
4,mestranol_similarity,saas_bo,5,5738b2df-093f-455e-b341-abbcc66c0661,12
0,osimetrinib_mpo,directed_evolution,1,3c6a1a07-39eb-4d94-aae2-2089d35bac85,309
1,osimetrinib_mpo,directed_evolution,2,40d6d090-c242-4b12-ac2f-ec696c01a3b8,309
2,osimetrinib_mpo,directed_evolution,3,45ebb967-834d-4edc-8363-e6025601ed9f,309
3,osimetrinib_mpo,directed_evolution,4,700021a3-848f-4537-86ed-a59b49c1ccaf,309
4,osimetrinib_mpo,directed_evolution,5,30de4780-e309-4e7e-a7f2-209c401a44cc,309
0,osimetrinib_mpo,hill_climbing,1,0449cf59-0ee5-46a8-b0cf-b4f7875e86a3,309
1,osimetrinib_mpo,hill_climbing,2,2475364d-cc1c-4e91-b964-2dca4e17fa6e,309
2,osimetrinib_mpo,hill_climbing,3,8faa88c7-f0f8-4dfb-9c47-aa6f5222c67a,309
3,osimetrinib_mpo,hill_climbing,4,11e6e8f0-1140-4003-ac33-b599245013b4,309
4,osimetrinib_mpo,hill_climbing,5,8ad35c84-3fde-4745-8613-d50ed67b8f66,309
0,osimetrinib_mpo,genetic_algorithm,1,bb84735c-1585-4985-a511-fe5d8346bea0,309
1,osimetrinib_mpo,genetic_algorithm,2,a488fc73-49f8-446a-9375-7dc1614a164f,309
2,osimetrinib_mpo,genetic_algorithm,3,650c4501-5c26-4d4a-9a41-72b4410d05a5,309
3,osimetrinib_mpo,genetic_algorithm,4,24164208-45be-4bc5-9b50-fd0914d34634,309
4,osimetrinib_mpo,genetic_algorithm,5,6200c2c9-d36b-4a1c-a32d-c4f56b9a4a49,309
0,osimetrinib_mpo,cma_es,1,096afb1c-dc46-45ba-94a1-71e0349f8d67,309
1,osimetrinib_mpo,cma_es,2,b2319d65-a931-4e8a-bf9f-ae960e58a1b9,309
2,osimetrinib_mpo,cma_es,3,4a9c6adf-0025-4aa1-923f-aec9bd971d29,309
3,osimetrinib_mpo,cma_es,4,b24c77b0-5275-445f-9c5a-1428d1f62a10,309
4,osimetrinib_mpo,cma_es,5,7dea14de-2539-498c-9b12-d9529eadcad0,309
0,osimetrinib_mpo,random_line_bo,1,4c67d914-1569-4cc8-8f98-21732d6459c0,309
1,osimetrinib_mpo,random_line_bo,2,d4245dd6-4d9e-45ee-9e14-6e11014eda8f,309
2,osimetrinib_mpo,random_line_bo,3,9c3091af-65e5-4540-b493-b91db0d4588d,309
3,osimetrinib_mpo,random_line_bo,4,3171dcc1-0ed8-4767-b529-d349645ab855,309
4,osimetrinib_mpo,random_line_bo,5,7cad88e0-8f68-42ce-a991-43c35bce3875,309
0,osimetrinib_mpo,coordinate_line_bo,1,7e6ccbaa-2a2d-410c-bdd2-a31592e97000,309
1,osimetrinib_mpo,coordinate_line_bo,2,52e6a5cb-ae70-4598-9394-58bf8a975e70,309
2,osimetrinib_mpo,coordinate_line_bo,3,5df90099-a35b-4633-a3c6-4f313ae23ee1,309
3,osimetrinib_mpo,coordinate_line_bo,4,6bf46899-f952-4b52-a953-5810cc39da65,309
4,osimetrinib_mpo,coordinate_line_bo,5,43e575af-cf4b-4b84-994b-b9595b41e17c,309
0,osimetrinib_mpo,turbo,1,07e9b8b7-032f-443e-a03d-e5cc350db775,309
1,osimetrinib_mpo,turbo,2,58632659-c56a-4032-a2cf-ce049037d839,309
2,osimetrinib_mpo,turbo,3,908e75ac-4ff0-4232-b39c-51a4bf3cd3f9,309
3,osimetrinib_mpo,turbo,4,4699b3ea-2f43-4f19-8df9-f15c1874ec11,309
4,osimetrinib_mpo,turbo,5,75b60302-63f7-4160-a0db-f11d59c7303f,309
0,osimetrinib_mpo,vanilla_bo_hvarfner,1,9bfe2bb5-7db9-4847-9d87-4e8c1dfb0cb2,12
1,osimetrinib_mpo,vanilla_bo_hvarfner,2,c128a114-c6ea-4fe9-9c50-8e3b9ffae0fd,12
2,osimetrinib_mpo,vanilla_bo_hvarfner,3,95b45478-e025-46bb-9482-0e90fc29f8ff,12
3,osimetrinib_mpo,vanilla_bo_hvarfner,4,4ec0f327-581a-4cf5-b24c-067454b5390d,12
4,osimetrinib_mpo,vanilla_bo_hvarfner,5,489aef14-9fb8-4f21-b785-309bc1794eb1,12
0,osimetrinib_mpo,pr,1,83265b4b-7043-4e82-a975-09747ef8a245,12
1,osimetrinib_mpo,pr,2,c2633004-0844-49ee-9b64-3268d9128898,12
2,osimetrinib_mpo,pr,3,1bd6f965-5ae0-44e8-97da-0c95eff06f87,12
3,osimetrinib_mpo,pr,4,3125dfc7-47d5-498b-92f7-2a814b12e4fe,12
4,osimetrinib_mpo,pr,5,04066eea-981d-4cd0-8c7a-fe08d1f2fc2f,12
0,osimetrinib_mpo,saas_bo,1,781f0341-713f-4845-8d00-ff0e58e6902a,12
1,osimetrinib_mpo,saas_bo,2,7ddb94f7-c99b-4967-94c6-183f96f5f3d2,12
2,osimetrinib_mpo,saas_bo,3,79773bbd-7c2b-42db-8bed-948967eeb3fa,12
3,osimetrinib_mpo,saas_bo,4,2cac92f9-ad3a-4f8e-bf16-8cf2f237f48f,12
4,osimetrinib_mpo,saas_bo,5,5c266dbd-15da-470f-b4bd-39f377720204,12
0,perindopril_mpo,directed_evolution,1,1852cd82-d016-4952-83f2-ac9e28d823f7,309
1,perindopril_mpo,directed_evolution,2,6bbfc98b-582b-46f1-811d-24cdc97445c9,309
2,perindopril_mpo,directed_evolution,3,8d2d9d68-a508-43d3-8de2-32e24fe94c97,309
3,perindopril_mpo,directed_evolution,4,11bb942b-6488-4350-aa82-6a9c0fe9ed40,309
4,perindopril_mpo,directed_evolution,5,71864fbc-4b51-4401-a9a2-fdf11f3b734f,309
0,perindopril_mpo,hill_climbing,1,69030bfa-5259-4703-892d-795ca597ace6,309
1,perindopril_mpo,hill_climbing,2,2d8f36ae-a973-4b1a-8f04-72420fdc65fb,309
2,perindopril_mpo,hill_climbing,3,ce09020d-4b1c-4085-a550-b20882efdf0b,309
3,perindopril_mpo,hill_climbing,4,65881563-c9a0-4d33-864e-5074d84d45c4,309
4,perindopril_mpo,hill_climbing,5,48a87a8a-7782-43f6-87b8-ef3b2eeb39f6,309
0,perindopril_mpo,genetic_algorithm,1,6408c3ee-897d-4c79-92f5-7ed266d62940,309
1,perindopril_mpo,genetic_algorithm,2,d52a91ce-f9a6-4754-94b7-1156413de8c9,309
2,perindopril_mpo,genetic_algorithm,3,3db59697-aaef-43d1-841e-00bdee88860f,309
3,perindopril_mpo,genetic_algorithm,4,4e85e060-944e-4170-be12-b9962bef37c2,309
